id_fact_order|order_id|product_id|customer_id|order_date|supplier_id|category_id|quantity|unit_price|discount|amount|freight
126|10294|43|RATTC|1996-08-30|20|1|15|36.8|0.0|552.0|147.26
127|10294|60|RATTC|1996-08-30|28|4|21|27.2|0.0|571.1999999999999|147.26
128|10294|75|RATTC|1996-08-30|12|1|6|6.2|0.0|37.2|147.26
129|10295|56|VINET|1996-09-02|26|5|4|30.4|0.0|121.6|1.15
130|10296|11|LILAS|1996-09-03|5|4|12|16.8|0.0|201.60000000000002|0.12
131|10296|16|LILAS|1996-09-03|7|3|30|13.9|0.0|417.0|0.12
132|10296|69|LILAS|1996-09-03|15|4|15|28.8|0.0|432.0|0.12
133|10297|39|BLONP|1996-09-04|18|1|60|14.4|0.0|864.0|5.74
134|10297|72|BLONP|1996-09-04|14|4|20|27.8|0.0|556.0|5.74
135|10298|2|HUNGO|1996-09-05|1|1|40|15.2|0.0|608.0|168.22
136|10298|36|HUNGO|1996-09-05|17|8|40|15.2|0.25|608.0|168.22
137|10298|59|HUNGO|1996-09-05|28|4|30|44.0|0.25|1320.0|168.22
138|10298|62|HUNGO|1996-09-05|29|3|15|39.4|0.0|591.0|168.22
139|10299|19|RICAR|1996-09-06|8|3|15|7.3|0.0|109.5|29.76
140|10299|70|RICAR|1996-09-06|7|1|20|12.0|0.0|240.0|29.76
141|10300|66|MAGAA|1996-09-09|2|2|30|13.6|0.0|408.0|17.68
142|10300|68|MAGAA|1996-09-09|8|3|20|10.0|0.0|200.0|17.68
143|10301|40|WANDK|1996-09-09|19|8|10|14.7|0.0|147.0|45.08
144|10301|56|WANDK|1996-09-09|26|5|20|30.4|0.0|608.0|45.08
145|10302|17|SUPRD|1996-09-10|7|6|40|31.2|0.0|1248.0|6.27
146|10302|28|SUPRD|1996-09-10|12|7|28|36.4|0.0|1019.1999999999999|6.27
147|10302|43|SUPRD|1996-09-10|20|1|12|36.8|0.0|441.59999999999997|6.27
148|10303|40|GODOS|1996-09-11|19|8|40|14.7|0.1|588.0|107.83
149|10303|65|GODOS|1996-09-11|2|2|30|16.8|0.1|504.0|107.83
150|10303|68|GODOS|1996-09-11|8|3|15|10.0|0.1|150.0|107.83
151|10304|49|TORTU|1996-09-12|23|3|30|16.0|0.0|480.0|63.79
152|10304|59|TORTU|1996-09-12|28|4|10|44.0|0.0|440.0|63.79
153|10304|71|TORTU|1996-09-12|15|4|2|17.2|0.0|34.4|63.79
154|10305|18|OLDWO|1996-09-13|7|8|25|50.0|0.1|1250.0|257.62
155|10305|29|OLDWO|1996-09-13|12|6|25|99.0|0.1|2475.0|257.62
156|10305|39|OLDWO|1996-09-13|18|1|30|14.4|0.1|432.0|257.62
157|10306|30|ROMEY|1996-09-16|13|8|10|20.7|0.0|207.0|7.56
158|10306|53|ROMEY|1996-09-16|24|6|10|26.2|0.0|262.0|7.56
159|10306|54|ROMEY|1996-09-16|25|6|5|5.9|0.0|29.5|7.56
160|10307|62|LONEP|1996-09-17|29|3|10|39.4|0.0|394.0|0.56
161|10307|68|LONEP|1996-09-17|8|3|3|10.0|0.0|30.0|0.56
162|10308|69|ANATR|1996-09-18|15|4|1|28.8|0.0|28.8|1.61
163|10308|70|ANATR|1996-09-18|7|1|5|12.0|0.0|60.0|1.61
164|10309|4|HUNGO|1996-09-19|2|2|20|17.6|0.0|352.0|47.3
165|10309|6|HUNGO|1996-09-19|3|2|30|20.0|0.0|600.0|47.3
166|10309|42|HUNGO|1996-09-19|20|5|2|11.2|0.0|22.4|47.3
167|10309|43|HUNGO|1996-09-19|20|1|20|36.8|0.0|736.0|47.3
168|10309|71|HUNGO|1996-09-19|15|4|3|17.2|0.0|51.599999999999994|47.3
169|10310|16|THEBI|1996-09-20|7|3|10|13.9|0.0|139.0|17.52
170|10310|62|THEBI|1996-09-20|29|3|5|39.4|0.0|197.0|17.52
171|10311|42|DUMON|1996-09-20|20|5|6|11.2|0.0|67.19999999999999|24.69
172|10311|69|DUMON|1996-09-20|15|4|7|28.8|0.0|201.6|24.69
173|10312|28|WANDK|1996-09-23|12|7|4|36.4|0.0|145.6|40.26
174|10312|43|WANDK|1996-09-23|20|1|24|36.8|0.0|883.1999999999999|40.26
175|10312|53|WANDK|1996-09-23|24|6|20|26.2|0.0|524.0|40.26
176|10312|75|WANDK|1996-09-23|12|1|10|6.2|0.0|62.0|40.26
177|10313|36|QUICK|1996-09-24|17|8|12|15.2|0.0|182.39999999999998|1.96
178|10314|32|RATTC|1996-09-25|14|4|40|25.6|0.1|1024.0|74.16
179|10314|58|RATTC|1996-09-25|27|8|30|10.6|0.1|318.0|74.16
180|10314|62|RATTC|1996-09-25|29|3|25|39.4|0.1|985.0|74.16
181|10315|34|ISLAT|1996-09-26|16|1|14|11.2|0.0|156.79999999999998|41.76
182|10315|70|ISLAT|1996-09-26|7|1|30|12.0|0.0|360.0|41.76
183|10316|41|RATTC|1996-09-27|19|8|10|7.7|0.0|77.0|150.15
184|10316|62|RATTC|1996-09-27|29|3|70|39.4|0.0|2758.0|150.15
185|10317|1|LONEP|1996-09-30|8|1|20|14.4|0.0|288.0|12.69
186|10318|41|ISLAT|1996-10-01|19|8|20|7.7|0.0|154.0|4.73
187|10318|76|ISLAT|1996-10-01|23|1|6|14.4|0.0|86.4|4.73
188|10319|17|TORTU|1996-10-02|7|6|8|31.2|0.0|249.6|64.5
189|10319|28|TORTU|1996-10-02|12|7|14|36.4|0.0|509.59999999999997|64.5
190|10319|76|TORTU|1996-10-02|23|1|30|14.4|0.0|432.0|64.5
191|10320|71|WARTH|1996-10-03|15|4|30|17.2|0.0|516.0|34.57
192|10321|35|ISLAT|1996-10-03|16|1|10|14.4|0.0|144.0|3.43
193|10322|52|PERIC|1996-10-04|24|5|20|5.6|0.0|112.0|0.4
194|10323|15|KOENE|1996-10-07|6|2|5|12.4|0.0|62.0|4.88
195|10323|25|KOENE|1996-10-07|11|3|4|11.2|0.0|44.8|4.88
196|10323|39|KOENE|1996-10-07|18|1|4|14.4|0.0|57.6|4.88
197|10324|16|SAVEA|1996-10-08|7|3|21|13.9|0.15|291.90000000000003|214.27
198|10324|35|SAVEA|1996-10-08|16|1|70|14.4|0.15|1008.0|214.27
199|10324|46|SAVEA|1996-10-08|21|8|30|9.6|0.0|288.0|214.27
200|10324|59|SAVEA|1996-10-08|28|4|40|44.0|0.15|1760.0|214.27
201|10324|63|SAVEA|1996-10-08|7|2|80|35.1|0.15|2808.0|214.27
202|10325|6|KOENE|1996-10-09|3|2|6|20.0|0.0|120.0|64.86
203|10325|13|KOENE|1996-10-09|6|8|12|4.8|0.0|57.599999999999994|64.86
204|10325|14|KOENE|1996-10-09|6|7|9|18.6|0.0|167.4|64.86
205|10325|31|KOENE|1996-10-09|14|4|4|10.0|0.0|40.0|64.86
206|10325|72|KOENE|1996-10-09|14|4|40|27.8|0.0|1112.0|64.86
207|10326|4|BOLID|1996-10-10|2|2|24|17.6|0.0|422.40000000000003|77.92
208|10326|57|BOLID|1996-10-10|26|5|16|15.6|0.0|249.6|77.92
209|10326|75|BOLID|1996-10-10|12|1|50|6.2|0.0|310.0|77.92
210|10327|2|FOLKO|1996-10-11|1|1|25|15.2|0.2|380.0|63.36
211|10327|11|FOLKO|1996-10-11|5|4|50|16.8|0.2|840.0|63.36
212|10327|30|FOLKO|1996-10-11|13|8|35|20.7|0.2|724.5|63.36
213|10327|58|FOLKO|1996-10-11|27|8|30|10.6|0.2|318.0|63.36
214|10328|59|FURIB|1996-10-14|28|4|9|44.0|0.0|396.0|87.03
215|10328|65|FURIB|1996-10-14|2|2|40|16.8|0.0|672.0|87.03
216|10328|68|FURIB|1996-10-14|8|3|10|10.0|0.0|100.0|87.03
217|10329|19|SPLIR|1996-10-15|8|3|10|7.3|0.05|73.0|191.67
218|10329|30|SPLIR|1996-10-15|13|8|8|20.7|0.05|165.6|191.67
219|10329|38|SPLIR|1996-10-15|18|1|20|210.8|0.05|4216.0|191.67
220|10329|56|SPLIR|1996-10-15|26|5|12|30.4|0.05|364.79999999999995|191.67
221|10330|26|LILAS|1996-10-16|11|3|50|24.9|0.15|1245.0|12.75
222|10330|72|LILAS|1996-10-16|14|4|25|27.8|0.15|695.0|12.75
223|10331|54|BONAP|1996-10-16|25|6|15|5.9|0.0|88.5|10.19
224|10332|18|MEREP|1996-10-17|7|8|40|50.0|0.2|2000.0|52.84
225|10332|42|MEREP|1996-10-17|20|5|10|11.2|0.2|112.0|52.84
226|10332|47|MEREP|1996-10-17|22|3|16|7.6|0.2|121.6|52.84
227|10333|14|WARTH|1996-10-18|6|7|10|18.6|0.0|186.0|0.59
228|10333|21|WARTH|1996-10-18|8|3|10|8.0|0.1|80.0|0.59
229|10333|71|WARTH|1996-10-18|15|4|40|17.2|0.1|688.0|0.59
230|10334|52|VICTE|1996-10-21|24|5|8|5.6|0.0|44.8|8.56
231|10334|68|VICTE|1996-10-21|8|3|10|10.0|0.0|100.0|8.56
232|10335|2|HUNGO|1996-10-22|1|1|7|15.2|0.2|106.39999999999999|42.11
233|10335|31|HUNGO|1996-10-22|14|4|25|10.0|0.2|250.0|42.11
234|10335|32|HUNGO|1996-10-22|14|4|6|25.6|0.2|153.60000000000002|42.11
235|10335|51|HUNGO|1996-10-22|24|7|48|42.4|0.2|2035.1999999999998|42.11
236|10336|4|PRINI|1996-10-23|2|2|18|17.6|0.1|316.8|15.51
237|10337|23|FRANK|1996-10-24|9|5|40|7.2|0.0|288.0|108.26
238|10337|26|FRANK|1996-10-24|11|3|24|24.9|0.0|597.5999999999999|108.26
239|10337|36|FRANK|1996-10-24|17|8|20|15.2|0.0|304.0|108.26
240|10337|37|FRANK|1996-10-24|17|8|28|20.8|0.0|582.4|108.26
241|10337|72|FRANK|1996-10-24|14|4|25|27.8|0.0|695.0|108.26
242|10338|17|OLDWO|1996-10-25|7|6|20|31.2|0.0|624.0|84.21
243|10338|30|OLDWO|1996-10-25|13|8|15|20.7|0.0|310.5|84.21
244|10339|4|MEREP|1996-10-28|2|2|10|17.6|0.0|176.0|15.66
245|10339|17|MEREP|1996-10-28|7|6|70|31.2|0.05|2184.0|15.66
246|10339|62|MEREP|1996-10-28|29|3|28|39.4|0.0|1103.2|15.66
247|10340|18|BONAP|1996-10-29|7|8|20|50.0|0.05|1000.0|166.31
248|10340|41|BONAP|1996-10-29|19|8|12|7.7|0.05|92.4|166.31
249|10340|43|BONAP|1996-10-29|20|1|40|36.8|0.05|1472.0|166.31
250|10341|33|SIMOB|1996-10-29|15|4|8|2.0|0.0|16.0|26.78
251|10341|59|SIMOB|1996-10-29|28|4|9|44.0|0.15|396.0|26.78
252|10342|2|FRANK|1996-10-30|1|1|24|15.2|0.2|364.79999999999995|54.83
253|10342|31|FRANK|1996-10-30|14|4|56|10.0|0.2|560.0|54.83
254|10342|36|FRANK|1996-10-30|17|8|40|15.2|0.2|608.0|54.83
255|10342|55|FRANK|1996-10-30|25|6|40|19.2|0.2|768.0|54.83
256|10343|64|LEHMS|1996-10-31|12|5|50|26.6|0.0|1330.0|110.37
257|10343|68|LEHMS|1996-10-31|8|3|4|10.0|0.05|40.0|110.37
258|10343|76|LEHMS|1996-10-31|23|1|15|14.4|0.0|216.0|110.37
259|10344|4|WHITC|1996-11-01|2|2|35|17.6|0.0|616.0|23.29
260|10344|8|WHITC|1996-11-01|3|2|70|32.0|0.25|2240.0|23.29
261|10345|8|QUICK|1996-11-04|3|2|70|32.0|0.0|2240.0|249.06
262|10345|19|QUICK|1996-11-04|8|3|80|7.3|0.0|584.0|249.06
263|10345|42|QUICK|1996-11-04|20|5|9|11.2|0.0|100.8|249.06
264|10346|17|RATTC|1996-11-05|7|6|36|31.2|0.1|1123.2|142.08
265|10346|56|RATTC|1996-11-05|26|5|20|30.4|0.0|608.0|142.08
266|10347|25|FAMIA|1996-11-06|11|3|10|11.2|0.0|112.0|3.1
267|10347|39|FAMIA|1996-11-06|18|1|50|14.4|0.15|720.0|3.1
268|10347|40|FAMIA|1996-11-06|19|8|4|14.7|0.0|58.8|3.1
269|10347|75|FAMIA|1996-11-06|12|1|6|6.2|0.15|37.2|3.1
270|10348|1|WANDK|1996-11-07|8|1|15|14.4|0.15|216.0|0.78
271|10348|23|WANDK|1996-11-07|9|5|25|7.2|0.0|180.0|0.78
272|10349|54|SPLIR|1996-11-08|25|6|24|5.9|0.0|141.60000000000002|8.63
273|10350|50|LAMAI|1996-11-11|23|3|15|13.0|0.1|195.0|64.19
274|10350|69|LAMAI|1996-11-11|15|4|18|28.8|0.1|518.4|64.19
275|10351|38|ERNSH|1996-11-11|18|1|20|210.8|0.05|4216.0|162.33
276|10351|41|ERNSH|1996-11-11|19|8|13|7.7|0.0|100.10000000000001|162.33
277|10351|44|ERNSH|1996-11-11|20|2|77|15.5|0.05|1193.5|162.33
278|10351|65|ERNSH|1996-11-11|2|2|10|16.8|0.05|168.0|162.33
279|10352|24|FURIB|1996-11-12|10|1|10|3.6|0.0|36.0|1.3
280|10352|54|FURIB|1996-11-12|25|6|20|5.9|0.15|118.0|1.3
281|10353|11|PICCO|1996-11-13|5|4|12|16.8|0.2|201.60000000000002|360.63
282|10353|38|PICCO|1996-11-13|18|1|50|210.8|0.2|10540.0|360.63
283|10354|1|PERIC|1996-11-14|8|1|12|14.4|0.0|172.8|53.8
284|10354|29|PERIC|1996-11-14|12|6|4|99.0|0.0|396.0|53.8
285|10355|24|AROUT|1996-11-15|10|1|25|3.6|0.0|90.0|41.95
286|10355|57|AROUT|1996-11-15|26|5|25|15.6|0.0|390.0|41.95
287|10356|31|WANDK|1996-11-18|14|4|30|10.0|0.0|300.0|36.71
288|10356|55|WANDK|1996-11-18|25|6|12|19.2|0.0|230.39999999999998|36.71
289|10356|69|WANDK|1996-11-18|15|4|20|28.8|0.0|576.0|36.71
290|10357|10|LILAS|1996-11-19|4|8|30|24.8|0.2|744.0|34.88
291|10357|26|LILAS|1996-11-19|11|3|16|24.9|0.0|398.4|34.88
292|10357|60|LILAS|1996-11-19|28|4|8|27.2|0.2|217.6|34.88
293|10358|24|LAMAI|1996-11-20|10|1|10|3.6|0.05|36.0|19.64
294|10358|34|LAMAI|1996-11-20|16|1|10|11.2|0.05|112.0|19.64
295|10358|36|LAMAI|1996-11-20|17|8|20|15.2|0.05|304.0|19.64
296|10359|16|SEVES|1996-11-21|7|3|56|13.9|0.05|778.4|288.43
297|10359|31|SEVES|1996-11-21|14|4|70|10.0|0.05|700.0|288.43
298|10359|60|SEVES|1996-11-21|28|4|80|27.2|0.05|2176.0|288.43
299|10360|28|BLONP|1996-11-22|12|7|30|36.4|0.0|1092.0|131.7
300|10360|29|BLONP|1996-11-22|12|6|35|99.0|0.0|3465.0|131.7
301|10360|38|BLONP|1996-11-22|18|1|10|210.8|0.0|2108.0|131.7
302|10360|49|BLONP|1996-11-22|23|3|35|16.0|0.0|560.0|131.7
303|10360|54|BLONP|1996-11-22|25|6|28|5.9|0.0|165.20000000000002|131.7
304|10361|39|QUICK|1996-11-22|18|1|54|14.4|0.1|777.6|183.17
305|10361|60|QUICK|1996-11-22|28|4|55|27.2|0.1|1496.0|183.17
306|10362|25|BONAP|1996-11-25|11|3|50|11.2|0.0|560.0|96.04
307|10362|51|BONAP|1996-11-25|24|7|20|42.4|0.0|848.0|96.04
308|10362|54|BONAP|1996-11-25|25|6|24|5.9|0.0|141.60000000000002|96.04
309|10363|31|DRACD|1996-11-26|14|4|20|10.0|0.0|200.0|30.54
310|10363|75|DRACD|1996-11-26|12|1|12|6.2|0.0|74.4|30.54
311|10363|76|DRACD|1996-11-26|23|1|12|14.4|0.0|172.8|30.54
312|10364|69|EASTC|1996-11-26|15|4|30|28.8|0.0|864.0|71.97
313|10364|71|EASTC|1996-11-26|15|4|5|17.2|0.0|86.0|71.97
314|10365|11|ANTON|1996-11-27|5|4|24|16.8|0.0|403.20000000000005|22.0
315|10366|65|GALED|1996-11-28|2|2|5|16.8|0.0|84.0|10.14
316|10366|77|GALED|1996-11-28|12|2|5|10.4|0.0|52.0|10.14
317|10367|34|VAFFE|1996-11-28|16|1|36|11.2|0.0|403.2|13.55
318|10367|54|VAFFE|1996-11-28|25|6|18|5.9|0.0|106.2|13.55
319|10367|65|VAFFE|1996-11-28|2|2|15|16.8|0.0|252.0|13.55
320|10367|77|VAFFE|1996-11-28|12|2|7|10.4|0.0|72.8|13.55
321|10368|21|ERNSH|1996-11-29|8|3|5|8.0|0.1|40.0|101.95
322|10368|28|ERNSH|1996-11-29|12|7|13|36.4|0.1|473.2|101.95
323|10368|57|ERNSH|1996-11-29|26|5|25|15.6|0.0|390.0|101.95
324|10368|64|ERNSH|1996-11-29|12|5|35|26.6|0.1|931.0|101.95
325|10369|29|SPLIR|1996-12-02|12|6|20|99.0|0.0|1980.0|195.68
326|10369|56|SPLIR|1996-12-02|26|5|18|30.4|0.25|547.1999999999999|195.68
327|10370|1|CHOPS|1996-12-03|8|1|15|14.4|0.15|216.0|1.17
328|10370|64|CHOPS|1996-12-03|12|5|30|26.6|0.0|798.0|1.17
329|10370|74|CHOPS|1996-12-03|4|7|20|8.0|0.15|160.0|1.17
330|10371|36|LAMAI|1996-12-03|17|8|6|15.2|0.2|91.19999999999999|0.45
331|10372|20|QUEEN|1996-12-04|8|3|12|64.8|0.25|777.5999999999999|890.78
